Date,Region,Product,Customer_Segment,Sales_Units,Unit_Price,Discount,Shipping_Cost,Profit_Margin,Returns,Revenue,Month
2023-10-04,East,Monitor,Corporate,10.0,372.9,0.0,46.33,0.28,0,3729.0,2023-10
2023-06-10,East,Smartphone,Corporate,8.0,969.9,0.15,45.69,0.13,0,6595.32,2023-06
2023-11-10,West,Smartphone,Home Office,7.0,,0.0,12.04,0.19,0,6651.68,2023-11
2023-01-22,South,Smartphone,Consumer,10.0,401.39,0.1,21.5,0.22,0,3612.51,2023-01
2023-09-10,East,Laptop,Consumer,10.0,613.77,0.05,32.86,0.24,0,5830.82,2023-09
2023-08-24,East,Monitor,Corporate,4.0,918.64,,12.17,0.18,0,3123.38,2023-08
2023-12-11,South,Monitor,Consumer,7.0,105.57,0.05,48.56,0.27,0,702.04,2023-12
2023-02-18,East,Desktop,Home Office,6.0,829.62,0.0,46.16,0.21,0,4977.72,2023-02
2023-02-28,North,Desktop,Home Office,13.0,953.53,0.0,12.51,0.19,0,12395.89,2023-02
2023-06-19,North,Desktop,Corporate,11.0,182.19,0.0,10.45,0.11,0,2004.09,2023-06
2023-07-07,South,Smartphone,Home Office,12.0,245.3,0.1,8.84,0.19,0,2649.24,2023-07
2023-09-28,West,Monitor,Home Office,8.0,964.67,0.1,45.92,0.26,0,6945.62,2023-09
2023-07-09,West,Smartphone,Corporate,4.0,583.79,0.15,13.71,0.22,0,1984.89,2023-07
2023-06-24,South,Laptop,Home Office,9.0,112.78,0.05,23.73,0.27,0,964.27,2023-06
2023-02-20,South,Desktop,Home Office,18.0,331.87,0.0,25.2,0.2,0,5973.66,2023-02
2023-12-30,North,Smartphone,Home Office,7.0,504.95,0.0,31.96,0.12,0,3534.65,2023-12
2023-02-24,West,Smartphone,Consumer,12.0,723.62,0.0,8.23,0.1,0,8683.44,2023-02
2023-09-01,East,Laptop,Corporate,8.0,759.84,0.0,15.2,0.16,0,6078.72,2023-09
2023-11-16,North,Tablet,Corporate,10.0,995.88,0.1,46.92,0.24,0,8962.92,2023-11
2023-05-11,South,Monitor,Corporate,9.0,358.76,0.05,45.88,0.26,0,3067.4,2023-05
2023-11-03,West,Tablet,Consumer,6.0,584.4,0.05,40.16,0.16,0,3331.08,2023-11
2023-05-15,East,Desktop,Consumer,7.0,579.99,0.15,,0.2,0,3450.94,2023-05
2023-01-21,East,Smartphone,Corporate,7.0,465.08,0.1,19.72,0.18,0,2930.0,2023-01
2023-11-25,North,Laptop,Consumer,11.0,252.25,0.0,,0.18,0,2774.75,2023-11
2023-06-16,West,Laptop,Corporate,7.0,979.71,0.05,17.38,0.15,0,6515.07,2023-06
2023-10-01,West,Monitor,Consumer,18.0,867.99,0.05,45.93,0.13,0,14842.63,2023-10
2023-03-30,South,Tablet,Home Office,6.0,548.5,0.1,33.53,0.14,0,2961.9,2023-03
2023-11-12,West,Monitor,Home Office,12.0,642.92,0.15,8.24,0.11,0,6557.78,2023-11
2023-01-14,West,Smartphone,Corporate,11.0,304.53,0.15,45.91,0.14,0,2847.36,2023-01
2023-08-30,North,Monitor,Consumer,6.0,589.41,0.0,48.1,0.1,0,3536.46,2023-08
2023-09-22,West,Laptop,Consumer,13.0,725.47,0.15,8.5,0.23,0,8016.44,2023-09
2023-12-12,East,Laptop,Home Office,9.0,563.65,0.05,28.96,0.16,0,4819.21,2023-12
2023-02-22,North,Desktop,Home Office,7.0,991.26,0.15,18.65,0.29,0,5898.0,2023-02
2023-12-06,North,Desktop,Consumer,7.0,650.21,0.0,22.68,0.14,0,4551.47,2023-12
2023-04-02,South,Smartphone,Consumer,5.0,433.88,,13.08,0.17,0,2060.93,2023-04
2023-09-21,West,Tablet,Consumer,12.0,794.94,0.15,31.01,0.17,0,8108.39,2023-09
2023-02-04,South,Monitor,Consumer,8.0,253.42,0.15,48.11,0.1,0,1723.26,2023-02
2023-07-25,East,Smartphone,Consumer,9.0,446.06,0.1,27.64,0.27,0,3613.09,2023-07
2023-03-22,North,Desktop,Consumer,17.0,412.26,0.0,8.73,0.11,0,7008.42,2023-03
2023-02-19,North,Monitor,Corporate,9.0,488.63,0.15,32.9,0.29,0,3738.02,2023-02
2023-12-26,North,Desktop,Consumer,7.0,803.6,0.1,20.31,0.28,0,5062.68,2023-12
2023-01-02,East,Monitor,Home Office,9.0,535.76,0.05,,0.21,0,4580.75,2023-01
2023-02-23,East,Tablet,Corporate,7.0,814.61,0.1,24.56,0.21,0,5132.04,2023-02
2023-04-16,South,Smartphone,Consumer,15.0,618.84,0.1,13.68,0.23,0,8354.34,2023-04
2023-09-17,South,Monitor,Home Office,10.0,407.86,0.15,13.6,0.18,0,3466.81,2023-09
2023-11-06,South,Laptop,Corporate,2.0,828.98,,39.59,0.23,0,1409.27,2023-11
2023-07-10,West,Laptop,Home Office,11.0,314.46,0.15,16.95,0.11,0,2940.2,2023-07
2023-08-06,North,Monitor,Consumer,10.0,301.94,0.1,,0.11,0,2989.21,2023-08
2023-02-13,North,Monitor,Consumer,13.0,554.05,0.05,14.26,0.19,0,6842.52,2023-02
2023-06-11,South,Monitor,Consumer,9.0,,0.0,19.48,0.21,0,3012.84,2023-06
2023-07-21,North,Laptop,Consumer,10.0,108.18,0.1,25.95,0.28,0,973.62,2023-07
2023-09-27,South,Laptop,Corporate,7.0,683.47,0.15,47.44,0.12,0,4066.65,2023-09
2023-12-17,West,Monitor,Corporate,7.0,559.98,0.0,46.93,0.26,0,3919.86,2023-12
2023-10-31,West,Desktop,Home Office,14.0,500.97,0.05,14.31,0.14,0,6662.9,2023-10
2023-09-28,East,Desktop,Consumer,4.0,970.27,0.0,21.12,0.18,0,3881.08,2023-09
2023-08-03,West,Tablet,Home Office,16.0,614.08,0.15,11.72,0.16,0,8351.49,2023-08
2023-09-09,South,Smartphone,Corporate,9.0,877.09,0.1,27.95,0.18,0,7104.43,2023-09
2023-07-09,West,Desktop,Consumer,14.0,225.51,0.1,25.73,0.13,0,2841.43,2023-07
2023-10-23,East,Laptop,Consumer,11.0,612.29,0.15,45.53,0.2,0,5724.91,2023-10
2023-08-01,North,Desktop,Corporate,14.0,881.18,0.1,46.85,0.26,1,11102.87,2023-08
2023-07-27,South,Tablet,Corporate,8.0,624.8,0.15,22.26,0.19,0,4248.64,2023-07
2023-08-25,North,Tablet,Corporate,2.0,746.21,0.1,27.13,0.2,0,1343.18,2023-08
2023-12-04,East,Smartphone,Corporate,13.0,434.84,0.1,45.33,0.27,0,5087.63,2023-12
2023-02-22,East,Desktop,Corporate,9.0,183.2,0.1,41.3,0.24,0,1483.92,2023-02
2023-10-07,East,Laptop,Consumer,7.0,512.11,0.05,5.16,0.2,0,3405.53,2023-10
2023-08-05,North,Laptop,Corporate,8.0,,,19.4,0.15,0,3458.23,2023-08
2023-09-09,North,Monitor,Consumer,19.0,880.35,0.15,,0.28,0,14217.65,2023-09
2023-07-07,North,Laptop,Consumer,14.0,319.6,0.05,15.34,0.22,0,4250.68,2023-07
2023-02-10,North,Smartphone,Corporate,8.0,970.06,0.15,13.98,0.14,0,6596.41,2023-02
2023-06-06,East,Smartphone,Corporate,7.0,962.32,0.0,6.7,0.15,0,6736.24,2023-06
2023-01-15,East,Laptop,Consumer,10.0,322.87,0.0,33.95,0.26,0,2905.83,2023-01
2023-10-28,South,Laptop,Corporate,12.0,,0.05,16.81,0.11,0,4711.05,2023-10
2023-03-06,South,Monitor,Corporate,10.0,906.0,0.0,7.36,0.3,0,9060.0,2023-03
2023-12-11,North,Laptop,Corporate,11.0,969.96,0.0,15.39,0.13,0,10669.56,2023-12
2023-11-23,West,Monitor,Home Office,12.0,499.1,0.1,41.09,0.26,0,5390.28,2023-11
2023-01-09,West,Monitor,Consumer,5.0,388.9,0.1,,0.18,0,1750.05,2023-01
2023-12-10,East,Laptop,Home Office,10.0,573.48,0.15,26.74,0.2,1,4874.58,2023-12
2023-05-09,East,Tablet,Corporate,12.0,718.99,0.0,23.72,0.28,0,8627.88,2023-05
2023-05-16,East,Tablet,Home Office,12.0,346.13,0.15,,0.18,0,3530.53,2023-05
2023-03-04,South,Monitor,Corporate,14.0,762.83,0.15,14.03,0.21,0,9077.68,2023-03
2023-05-19,South,Laptop,Home Office,13.0,,0.0,14.69,0.11,0,1904.37,2023-05
2023-03-22,East,Tablet,Corporate,8.0,144.37,0.05,18.13,0.1,0,1097.21,2023-03
2023-06-12,East,Laptop,Home Office,12.0,447.66,0.0,12.77,0.15,0,5371.92,2023-06
2023-10-16,East,Laptop,Home Office,10.0,418.13,0.1,22.07,0.24,0,3763.17,2023-10
2023-09-18,West,Laptop,Home Office,12.0,384.07,0.0,45.99,0.12,0,4608.84,2023-09
2023-08-19,South,Desktop,Consumer,19.0,541.92,0.05,32.69,0.12,0,9781.66,2023-08
2023-02-10,West,Laptop,Home Office,7.0,388.66,0.15,23.54,0.18,0,2312.53,2023-02
2023-01-28,West,Desktop,Consumer,13.0,273.03,0.15,47.05,0.23,0,3016.98,2023-01
2023-05-15,East,Monitor,Corporate,19.0,378.52,0.1,7.18,0.24,0,6472.69,2023-05
2023-07-20,East,Tablet,Home Office,10.0,977.41,0.1,14.46,0.14,0,8796.69,2023-07
2023-11-24,North,Tablet,Corporate,14.0,470.0,0.1,30.46,0.12,0,5922.0,2023-11
2023-09-25,North,Tablet,Corporate,13.0,500.24,0.15,32.7,0.29,0,5527.65,2023-09
2023-02-02,West,Tablet,Home Office,9.0,618.89,0.1,6.78,0.15,0,5013.01,2023-02
2023-02-17,South,Tablet,Consumer,14.0,985.01,0.0,23.14,0.27,0,13790.14,2023-02
2023-03-03,East,Tablet,Home Office,8.0,317.44,0.15,34.21,0.27,0,2158.59,2023-03
2023-08-04,East,Tablet,Corporate,14.0,713.15,0.05,36.41,0.25,0,9484.9,2023-08
2023-10-20,West,Monitor,Corporate,13.0,744.39,,33.72,0.13,1,8225.51,2023-10
2023-04-09,North,Laptop,Home Office,11.0,646.59,0.0,19.43,0.26,0,7112.49,2023-04
2023-06-21,South,Smartphone,Consumer,8.0,179.72,0.0,9.21,0.25,0,1437.76,2023-06
2023-12-26,North,Desktop,Consumer,8.0,709.19,0.1,24.22,0.22,0,5106.17,2023-12
2023-08-02,North,Smartphone,Corporate,8.0,157.69,0.15,10.79,0.17,0,1072.29,2023-08
2023-02-04,North,Smartphone,Corporate,9.0,636.53,0.15,47.64,0.15,0,4869.45,2023-02
2023-08-15,North,Laptop,Consumer,13.0,765.62,0.15,26.38,0.12,0,8460.1,2023-08
2023-04-11,East,Laptop,Home Office,9.0,289.87,,19.28,0.2,0,2478.39,2023-04
2023-05-11,East,Laptop,Corporate,8.0,857.46,0.1,39.48,0.22,0,6173.71,2023-05
2023-09-14,North,Tablet,Consumer,9.0,127.32,0.0,27.41,0.17,0,1145.88,2023-09
2023-01-05,South,Monitor,Corporate,10.0,859.43,0.0,18.95,0.2,0,9453.73,2023-01
2023-08-06,West,Tablet,Home Office,11.0,514.3,0.1,41.54,0.17,0,5091.57,2023-08
2023-09-12,South,Monitor,Consumer,9.0,295.83,0.0,44.02,0.23,0,2662.47,2023-09
2023-12-25,South,Monitor,Corporate,5.0,220.4,0.0,35.29,0.28,0,1102.0,2023-12
2023-10-10,South,Smartphone,Home Office,8.0,957.98,0.1,7.11,0.13,0,6897.46,2023-10
2023-07-26,North,Smartphone,Corporate,22.0,165.4,0.0,30.48,0.18,0,3638.8,2023-07
2023-01-15,East,Monitor,Home Office,10.0,279.18,,39.35,0.13,0,2373.03,2023-01
2023-12-12,South,Monitor,Home Office,19.0,413.04,0.05,11.14,0.22,0,7455.37,2023-12
2023-02-11,North,Tablet,Consumer,9.0,658.21,0.1,15.29,0.25,0,5331.5,2023-02
2023-06-28,South,Tablet,Home Office,12.0,590.32,0.05,44.71,0.29,0,6729.65,2023-06
2023-03-04,South,Smartphone,Corporate,8.0,213.08,0.0,5.91,0.16,0,1704.64,2023-03
2023-12-18,North,Laptop,Home Office,8.0,360.76,0.0,38.87,0.29,0,2886.08,2023-12
2023-08-19,East,Monitor,Home Office,10.0,314.88,,,0.11,0,2676.48,2023-08
2023-08-29,East,Tablet,Consumer,8.0,292.19,0.1,25.1,0.22,0,2103.77,2023-08
2023-02-21,West,Smartphone,Home Office,4.0,470.03,0.0,5.32,0.11,0,1880.12,2023-02
2023-04-06,North,Tablet,Home Office,17.0,733.63,0.1,41.87,0.28,0,11224.54,2023-04
2023-08-10,West,Monitor,Corporate,5.0,295.71,0.1,21.19,0.21,0,1330.7,2023-08
2023-08-19,West,Monitor,Consumer,11.0,430.01,0.1,29.33,0.23,0,4257.1,2023-08
2023-08-25,West,Desktop,Consumer,8.0,451.83,,35.48,0.27,0,3253.18,2023-08
2023-05-23,East,Laptop,Consumer,18.0,978.81,0.1,36.62,0.13,0,15856.72,2023-05
2023-06-20,North,Desktop,Home Office,12.0,959.2,0.05,48.02,0.11,0,10934.88,2023-06
2023-01-29,West,Smartphone,Consumer,10.0,,0.15,28.91,0.28,0,7668.12,2023-01
2023-02-05,North,Tablet,Home Office,8.0,317.49,0.1,22.99,0.16,0,2285.93,2023-02
2023-01-13,North,Smartphone,Home Office,5.0,161.23,0.05,47.92,0.13,0,765.84,2023-01
2023-06-09,East,Monitor,Corporate,14.0,385.21,0.0,33.89,0.19,0,5392.94,2023-06
2023-11-23,West,Desktop,Corporate,11.0,340.12,0.1,18.42,0.22,0,3367.19,2023-11
2023-07-06,West,Desktop,Corporate,12.0,555.33,0.0,10.69,0.11,0,6663.96,2023-07
2023-08-31,North,Desktop,Corporate,7.0,799.96,0.1,42.91,0.15,0,5039.75,2023-08
2023-03-27,South,Smartphone,Corporate,18.0,872.49,0.05,21.3,0.11,0,14919.58,2023-03
2023-10-11,East,Monitor,Home Office,14.0,860.38,0.05,34.72,0.18,0,11443.05,2023-10
2023-03-07,East,Tablet,Home Office,5.0,423.71,0.05,26.19,0.28,0,2012.62,2023-03
2023-06-19,East,Tablet,Consumer,9.0,718.51,0.15,13.95,0.3,0,5496.6,2023-06
2023-02-14,East,Smartphone,Home Office,9.0,381.55,0.0,32.08,0.23,0,3433.95,2023-02
2023-03-03,West,Desktop,Home Office,9.0,154.81,0.15,7.73,0.13,0,1184.3,2023-03
2023-05-14,West,Laptop,Corporate,11.0,731.41,0.1,23.6,0.28,0,7240.96,2023-05
2023-10-11,South,Smartphone,Home Office,7.0,108.84,0.0,29.6,0.2,0,761.88,2023-10
2023-01-28,East,Smartphone,Corporate,5.0,468.26,0.05,24.62,0.13,0,2224.24,2023-01
2023-04-18,East,Monitor,Consumer,14.0,396.44,0.0,38.69,0.28,0,5550.16,2023-04
2023-02-13,North,Tablet,Consumer,7.0,724.04,0.05,42.26,0.25,0,4814.87,2023-02
2023-12-06,West,Smartphone,Home Office,7.0,789.62,0.15,39.71,0.25,0,4698.24,2023-12
2023-10-13,East,Smartphone,Consumer,10.0,373.69,0.15,6.75,0.24,0,3176.36,2023-10
2023-11-27,South,Desktop,Home Office,10.0,830.46,,,0.14,0,8678.31,2023-11
2023-05-08,South,Desktop,Consumer,5.0,364.53,0.05,29.15,0.14,0,1731.52,2023-05
2023-12-14,West,Laptop,Corporate,10.0,501.69,0.1,47.07,0.24,0,4515.21,2023-12
2023-08-19,South,Monitor,Corporate,11.0,754.32,0.15,42.57,0.14,0,7052.89,2023-08
2023-07-09,South,Laptop,Corporate,12.0,723.63,0.15,42.91,0.19,0,7381.03,2023-07
2023-08-13,West,Desktop,Corporate,4.0,,0.1,18.64,0.26,0,3559.07,2023-08
2023-10-10,East,Tablet,Home Office,10.0,302.64,0.15,24.33,0.26,0,3858.66,2023-10
2023-05-01,East,Desktop,Consumer,10.0,696.09,0.05,26.18,0.19,0,6612.86,2023-05
2023-04-26,South,Monitor,Home Office,9.0,648.71,0.0,12.08,0.26,0,5838.39,2023-04
2023-08-21,South,Desktop,Corporate,9.0,923.59,0.0,6.4,0.27,0,8312.31,2023-08
2023-09-16,East,Monitor,Home Office,7.0,240.73,0.15,47.61,0.23,0,1432.34,2023-09
2023-12-25,West,Monitor,Consumer,9.0,776.62,0.1,15.83,0.15,0,6290.62,2023-12
2023-07-17,South,Monitor,Home Office,10.0,611.44,0.05,15.8,0.15,0,4646.94,2023-07
2023-05-17,North,Monitor,Consumer,10.0,347.2,0.0,8.75,0.16,0,3472.0,2023-05
2023-11-14,West,Monitor,Home Office,9.0,526.99,0.05,46.78,0.12,0,4505.76,2023-11
2023-06-14,South,Tablet,Consumer,7.0,400.4,0.15,31.09,0.15,0,2382.38,2023-06
2023-08-13,South,Laptop,Consumer,6.0,621.38,0.15,,0.14,0,3169.04,2023-08
2023-11-03,North,Smartphone,Corporate,7.0,900.1,0.0,46.02,0.19,1,6300.7,2023-11
2023-08-22,North,Laptop,Consumer,12.0,612.37,0.15,20.55,0.28,0,6246.17,2023-08
2023-06-21,East,Monitor,Corporate,8.0,668.55,0.1,32.97,0.12,0,4813.56,2023-06
2023-06-01,West,Tablet,Corporate,7.0,566.87,0.15,6.75,0.24,0,3372.88,2023-06
2023-11-11,West,Desktop,Corporate,10.0,146.05,0.15,,0.24,0,1241.42,2023-11
2023-06-09,East,Tablet,Home Office,10.0,309.57,0.15,42.41,0.12,0,2105.08,2023-06
2023-04-06,West,Monitor,Home Office,13.0,542.8,0.05,39.5,0.28,0,6703.58,2023-04
2023-08-21,West,Tablet,Home Office,8.0,379.21,0.05,20.78,0.21,0,2882.0,2023-08
2023-06-29,West,Tablet,Home Office,10.0,263.59,0.0,21.96,0.17,0,3690.26,2023-06
2023-04-23,West,Monitor,Consumer,9.0,553.72,0.0,29.01,0.25,0,4983.48,2023-04
2023-11-14,West,Tablet,Consumer,10.0,390.53,0.0,5.01,0.15,0,3905.3,2023-11
2023-02-21,North,Smartphone,Home Office,12.0,332.3,0.15,15.86,0.24,0,3389.46,2023-02
2023-09-25,West,Smartphone,Consumer,11.0,517.59,0.05,14.37,0.11,0,5408.82,2023-09
2023-10-22,North,Tablet,Consumer,12.0,219.96,0.1,16.27,0.27,0,2375.57,2023-10
2023-04-23,West,Desktop,Corporate,12.0,934.97,0.15,41.27,0.19,0,9536.69,2023-04
2023-04-11,East,Monitor,Corporate,5.0,880.93,0.15,17.59,0.23,0,3743.95,2023-04
2023-04-23,South,Smartphone,Corporate,12.0,736.86,0.15,13.62,0.14,0,7515.97,2023-04
2023-03-22,North,Desktop,Corporate,6.0,195.59,0.1,27.69,0.24,0,1056.19,2023-03
2023-07-06,West,Tablet,Consumer,15.0,,0.0,43.95,0.25,0,11974.35,2023-07
2023-04-23,East,Desktop,Home Office,8.0,827.16,0.1,15.86,0.19,0,5955.55,2023-04
2023-01-02,South,Laptop,Consumer,7.0,790.99,0.0,8.53,0.22,0,5536.93,2023-01
2023-05-10,North,Smartphone,Consumer,11.0,202.57,0.1,21.04,0.19,0,2005.44,2023-05
2023-08-08,South,Tablet,Consumer,7.0,679.52,0.05,38.64,0.28,0,4518.81,2023-08
2023-02-23,East,Monitor,Corporate,10.0,850.89,0.15,29.78,0.2,0,7232.56,2023-02
2023-12-09,North,Tablet,Corporate,9.0,619.62,0.15,41.76,0.27,0,4740.09,2023-12
2023-08-12,South,Monitor,Corporate,12.0,681.77,0.15,48.18,0.26,0,6954.05,2023-08
2023-08-13,West,Tablet,Home Office,6.0,512.53,0.0,40.67,0.18,0,3075.18,2023-08
2023-05-06,North,Desktop,Consumer,9.0,575.84,0.1,32.17,0.15,0,4664.3,2023-05
2023-05-10,South,Desktop,Home Office,11.0,130.94,0.05,27.2,0.18,0,1368.32,2023-05
2023-02-22,East,Desktop,Corporate,10.0,675.07,0.1,6.8,0.27,0,3037.82,2023-02
2023-06-21,East,Laptop,Home Office,6.0,173.3,0.15,49.29,0.15,0,883.83,2023-06
2023-08-06,North,Monitor,Consumer,10.0,491.51,0.05,22.26,0.2,1,3268.54,2023-08
2023-06-09,South,Desktop,Consumer,15.0,363.39,0.05,11.85,0.26,0,5178.31,2023-06
2023-07-17,North,Laptop,Corporate,10.0,590.89,0.15,35.0,0.17,0,5022.56,2023-07
2023-09-04,North,Monitor,Corporate,4.0,220.07,0.1,17.79,0.23,0,792.25,2023-09
2023-11-20,South,Tablet,Home Office,11.0,722.48,0.15,31.36,0.15,0,6755.19,2023-11
2023-07-22,South,Laptop,Corporate,12.0,815.51,0.1,31.4,0.12,0,8807.51,2023-07
2023-07-03,West,Smartphone,Corporate,10.0,247.02,0.05,25.06,0.26,0,2346.69,2023-07
2023-05-03,South,Laptop,Consumer,10.0,193.88,,42.63,0.12,0,1841.86,2023-05
2023-09-12,East,Laptop,Corporate,13.0,230.96,0.15,16.92,0.15,0,2552.11,2023-09
2023-10-21,North,Monitor,Corporate,7.0,889.41,0.05,25.19,0.27,0,5914.58,2023-10
2023-10-07,North,Tablet,Consumer,14.0,575.37,0.0,29.2,0.17,0,8055.18,2023-10
2023-11-21,East,Smartphone,Consumer,4.0,,0.05,34.86,0.29,0,1978.01,2023-11
2023-04-08,South,Desktop,Home Office,7.0,196.04,0.0,,0.3,0,1372.28,2023-04
2023-07-17,East,Desktop,Corporate,14.0,684.6,0.05,22.77,0.15,0,9105.18,2023-07
2023-08-28,East,Laptop,Consumer,4.0,881.2,0.15,34.07,0.11,1,2996.08,2023-08
2023-05-24,West,Monitor,Home Office,4.0,845.37,0.15,11.78,0.24,0,2874.26,2023-05
2023-04-07,East,Monitor,Home Office,13.0,663.45,0.0,46.97,0.19,0,8624.85,2023-04
2023-07-20,North,Desktop,Corporate,8.0,167.75,0.15,22.24,0.12,0,1140.7,2023-07
2023-05-04,East,Smartphone,Corporate,8.0,201.16,0.05,37.83,0.24,0,1528.82,2023-05
2023-07-06,North,Tablet,Home Office,10.0,,0.05,5.92,0.11,0,548.64,2023-07
2023-11-22,North,Smartphone,Consumer,10.0,331.73,0.15,,0.27,1,2819.7,2023-11
2023-12-15,North,Tablet,Home Office,11.0,222.1,0.05,26.92,0.13,0,2320.94,2023-12
2023-09-16,South,Desktop,Corporate,12.0,334.04,0.1,44.52,0.13,0,3607.63,2023-09
2023-05-28,West,Tablet,Consumer,13.0,446.55,0.1,28.73,0.14,0,5224.64,2023-05
2023-09-09,North,Monitor,Consumer,11.0,948.68,0.05,46.84,0.29,0,9913.71,2023-09
2023-12-12,North,Laptop,Home Office,10.0,649.34,0.15,26.77,0.24,0,5519.39,2023-12
2023-05-27,South,Laptop,Corporate,12.0,851.48,0.0,27.07,0.26,0,10217.76,2023-05
2023-05-28,North,Desktop,Home Office,12.0,739.32,0.15,10.39,0.18,1,7541.06,2023-05
2023-12-18,East,Monitor,Home Office,7.0,201.25,0.0,41.12,0.17,0,1408.75,2023-12
2023-07-18,East,Smartphone,Home Office,13.0,762.33,0.15,16.11,0.15,0,8423.75,2023-07
2023-11-04,West,Monitor,Consumer,11.0,347.59,0.05,45.48,0.2,0,3632.32,2023-11
2023-05-08,North,Laptop,Consumer,6.0,675.2,0.1,45.99,0.21,0,3646.08,2023-05
2023-02-08,South,Laptop,Corporate,12.0,406.87,0.15,47.45,0.23,0,4150.07,2023-02
2023-12-04,East,Monitor,Corporate,7.0,997.91,0.0,28.41,0.15,0,6985.37,2023-12
2023-12-26,South,Monitor,Home Office,10.0,337.2,0.1,35.47,0.29,0,2124.36,2023-12
2023-05-09,South,Laptop,Home Office,9.0,,0.0,40.03,0.13,0,3160.98,2023-05
2023-09-24,East,Smartphone,Home Office,10.0,937.61,0.05,10.9,0.29,0,8907.3,2023-09
2023-05-31,South,Desktop,Corporate,9.0,122.18,0.1,32.04,0.1,0,989.66,2023-05
2023-10-25,East,Desktop,Consumer,8.0,727.02,0.0,6.54,0.2,0,5816.16,2023-10
2023-04-09,South,Monitor,Consumer,8.0,752.79,0.15,27.39,0.17,0,5118.97,2023-04
2023-09-20,East,Desktop,Home Office,11.0,852.74,0.05,11.97,0.19,0,8911.13,2023-09
2023-09-09,North,Laptop,Home Office,8.0,,0.05,13.23,0.21,0,7425.2,2023-09
2023-05-24,West,Laptop,Home Office,12.0,978.04,0.05,21.43,0.19,0,11149.66,2023-05
2023-12-12,East,Monitor,Home Office,11.0,158.75,0.15,24.46,0.18,0,1484.31,2023-12
2023-04-22,East,Monitor,Corporate,7.0,839.66,0.15,33.04,0.25,0,4995.98,2023-04
2023-03-01,West,Monitor,Consumer,12.0,681.68,0.1,8.35,0.24,0,7362.14,2023-03
2023-01-02,East,Smartphone,Home Office,9.0,682.61,0.15,27.67,0.27,0,5221.97,2023-01
2023-10-31,East,Desktop,Corporate,7.0,215.51,0.1,13.22,0.15,0,1357.71,2023-10
2023-09-11,South,Monitor,Home Office,14.0,685.17,0.05,30.83,0.22,0,9112.76,2023-09
2023-05-20,West,Tablet,Home Office,10.0,984.23,0.1,33.68,0.22,0,8858.07,2023-05
2023-02-06,North,Tablet,Consumer,12.0,920.64,0.0,30.05,0.17,0,11047.68,2023-02
2023-06-09,East,Laptop,Home Office,14.0,495.22,0.05,38.22,0.2,0,6586.43,2023-06
2023-01-09,West,Desktop,Consumer,10.0,135.95,0.05,20.1,0.16,0,1420.68,2023-01
2023-08-21,South,Monitor,Consumer,8.0,426.06,0.1,39.43,0.13,0,3067.63,2023-08
2023-04-09,North,Tablet,Consumer,6.0,843.75,0.05,24.47,0.14,0,4809.38,2023-04
2023-05-27,West,Desktop,Corporate,9.0,731.35,0.15,26.79,0.12,0,5594.83,2023-05
